"Name","Team","G","HR","wRC+","ISO","HR/FB","FB%","Hard%","playerid"
"Brandon Crawford","SFG","63","5","90",".126","7.8%","39.0%","21.8%","5343"
"Jesus Sanchez","MIA","63","10","91",".203","19.2%","34.9%","28.7%","19913"
"Justin Turner","LAD","70","6","90",".148","6.4%","44.5%","31.8%","5235"
"Cesar Hernandez","WSN","77","0","84",".067","0.0%","27.9%","25.0%","10556"
"Salvador Perez","KCR","57","11","87",".215","14.1%","49.4%","31.6%","7304"
"Frank Schwindel","CHC","62","8","83",".149","12.1%","36.5%","30.4%","15351"
"Yuli Gurriel","HOU","69","6","90",".159","6.3%","44.0%","25.9%","19198"
"Cody Bellinger","LAD","69","10","86",".182","12.2%","46.9%","37.1%","15998"
"Miguel Rojas","MIA","65","6","87",".122","9.7%","31.8%","20.5%","7802"
"Max Muncy","LAD","60","6","86",".131","8.3%","49.7%","32.2%","13301"
"Pavin Smith","ARI","65","9","81",".155","13.2%","44.7%","26.3%","19892"
"Elvis Andrus","OAK","72","4","90",".125","5.1%","39.3%","24.9%","8709"
"Marcus Semien","TEX","73","8","87",".133","7.1%","46.1%","25.5%","12533"
"Eduardo Escobar","NYM","69","6","88",".153","6.8%","45.8%","24.5%","6153"
"Alec Bohm","PHI","74","4","80",".094","6.7%","27.0%","27.9%","21618"
"Adam Duvall","ATL","75","10","77",".170","11.4%","52.4%","33.3%","10950"
"Maikel Franco","WSN","74","7","77",".128","8.8%","35.2%","30.0%","12179"
"Robbie Grossman","DET","59","2","80",".075","3.4%","44.7%","29.3%","5254"
"Brandon Marsh","LAA","70","6","80",".118","12.2%","34.5%","33.8%","20202"
"Javier Baez","DET","62","7","77",".159","12.1%","32.2%","26.7%","12979"
"Isiah Kiner-Falefa","NYY","68","0","78",".048","0.0%","25.6%","19.2%","16512"
"Trent Grisham","SDP","75","6","76",".130","9.0%","40.4%","22.8%","18564"
"Enrique Hernandez","BOS","51","4","70",".130","4.4%","50.0%","27.2%","10472"
"Tony Kemp","OAK","72","2","74",".062","2.6%","38.4%","17.6%","14894"
"Adam Frazier","SEA","77","2","75",".071","2.5%","32.3%","19.2%","15223"
"Avisail Garcia","MIA","61","6","70",".107","12.8%","28.3%","28.9%","5760"
"Spencer Torkelson","DET","67","4","68",".098","7.0%","37.3%","27.5%","27465"
"Whit Merrifield","KCR","74","3","65",".083","3.0%","39.0%","27.6%","11281"
"Myles Straw","CLE","72","0","65",".053","0.0%","34.1%","22.9%","17620"
"Nicky Lopez","KCR","68","0","63",".052","0.0%","26.1%","20.2%","19339"
"Jorge Mateo","BAL","70","6","62",".136","10.0%","39.2%","24.4%","17273"
"Jonathan Schoop","DET","72","6","48",".119","8.2%","34.6%","29.4%","11265"
