"Name","Team","G","HR","ISO","SLG","FB%","HR/FB","Hard%","playerid"
"Evan Longoria","SFG","125","16",".169",".413","39.1%","10.7%","41.1%","9368"
"Tim Anderson","CHW","153","20",".166",".406","33.5%","14.2%","30.3%","15172"
"Freddy Galvis","SDP","162","13",".133",".380","36.5%","7.9%","40.3%","6609"
"Dansby Swanson","ATL","136","14",".157",".395","37.6%","10.4%","35.6%","18314"
"Amed Rosario","NYM","154","9",".125",".381","29.6%","7.0%","27.7%","15518"
"Manuel Margot","SDP","141","8",".138",".384","37.1%","5.5%","39.3%","14712"
"Kyle Seager","SEA","155","22",".178",".400","44.6%","11.0%","37.0%","9785"
"Yangervis Solarte","TOR","122","17",".152",".378","36.6%","11.6%","28.3%","5352"
"Kole Calhoun","LAA","137","19",".161",".369","35.2%","14.8%","44.5%","11200"
"Miguel Rojas","MIA","153","11",".094",".346","29.2%","8.9%","26.8%","7802"
"Victor Martinez","DET","133","9",".103",".353","36.1%","5.9%","36.9%","393"
"Billy Hamilton","CIN","153","4",".091",".327","35.2%","3.1%","19.1%","10199"
"Dee Strange-Gordon","SEA","141","4",".081",".349","22.4%","3.9%","20.4%","8203"
"Alcides Escobar","KCR","140","4",".082",".313","32.2%","3.1%","30.3%","6310"
"Chris Davis","BAL","128","16",".128",".296","39.3%","14.5%","36.2%","9272"
